dataset,seed,model,status,rows,features,target_0_count,target_1_count,train_rows,validation_rows,test_rows,train_positive_count,validation_positive_count,test_positive_count,learning_rate,iterations,threshold,threshold_score,training_time_seconds,prediction_time_seconds,accuracy,majority_baseline_accuracy,accuracy_gain_over_majority,balanced_accuracy,majority_recall,minority_recall,minority_precision,minority_f1,minority_error_rate,false_positive_rate,mcc,roc_auc,average_precision,tn,fp,fn,tp
df2,2,gaar_focal_loss_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5742424242424242,0.9076923076923077,4.387114283978008,0.00020608800696209073,0.975051975051975,0.8440748440748441,0.13097713097713093,0.9417405582922824,0.9901477832512315,0.8933333333333333,0.9436619718309859,0.9178082191780822,0.10666666666666667,0.009852216748768473,0.9035866735506198,0.9945484400656814,0.9688019371820671,402,4,8,67
df2,3,default,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,0.6037503409897909,0.000412366003729403,0.8752598752598753,0.8232848232848233,0.05197505197505192,0.6609180035650624,0.9924242424242424,0.32941176470588235,0.9032258064516129,0.4827586206896552,0.6705882352941176,0.007575757575757576,0.4999246871767702,0.9300356506238859,0.7561149576647419,393,3,57,28
df2,3,gaar,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,1.8199930349946953,0.00020719901658594608,0.9085239085239085,0.8232848232848233,0.08523908523908519,0.9213458110516934,0.9015151515151515,0.9411764705882353,0.6722689075630253,0.7843137254901961,0.058823529411764705,0.09848484848484848,0.7448999860104245,0.9750742721330956,0.901868878836395,357,39,5,80
df2,3,focal_loss,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,0.6701779059949331,0.00020054099150002003,0.8253638253638254,0.8232848232848233,0.0020790020790020236,0.5105020796197267,0.9974747474747475,0.023529411764705882,0.6666666666666666,0.045454545454545456,0.9764705882352941,0.0025252525252525255,0.10176250341173362,0.8912953060011883,0.5709298868490292,395,1,83,2
df2,3,f1_threshold,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.24757575757575756,0.6482758620689655,0.6230711769894697,0.00024114601546898484,0.8607068607068608,0.8232848232848233,0.037422037422037424,0.8414884135472371,0.8712121212121212,0.8117647058823529,0.575,0.6731707317073171,0.18823529411764706,0.12878787878787878,0.6020309248612258,0.9300356506238859,0.7561149576647419,345,51,16,69
df2,3,gaar_focal_loss,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,1.8224577130167745,0.00027061294531449676,0.8274428274428275,0.8232848232848233,0.004158004158004158,0.8721033868092691,0.803030303030303,0.9411764705882353,0.5063291139240507,0.6584362139917695,0.058823529411764705,0.19696969696969696,0.6043950095498519,0.9470588235294117,0.8009622263213676,318,78,5,80
df2,3,gaar_f1_threshold,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.6039393939393939,0.75,1.819488351000473,0.0003257140051573515,0.9459459459459459,0.8232848232848233,0.12266112266112261,0.9348336304218656,0.952020202020202,0.9176470588235294,0.8041237113402062,0.8571428571428571,0.08235294117647059,0.047979797979797977,0.8267204823749491,0.9750742721330956,0.901868878836395,377,19,7,78
df2,3,focal_loss_f1_threshold,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.37626262626262624,0.5901639344262295,0.6972681680344976,0.0009769020252861083,0.8066528066528067,0.8232848232848233,-0.016632016632016633,0.8363784907902555,0.7904040404040404,0.8823529411764706,0.47468354430379744,0.6172839506172839,0.11764705882352941,0.20959595959595959,0.5463682631240079,0.8912953060011883,0.5709298868490292,313,83,10,75
df2,3,gaar_focal_loss_f1_threshold,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5544444444444444,0.6619718309859155,1.9856366640306078,0.00021145801292732358,0.8877338877338877,0.8232848232848233,0.0644490644490644,0.8717617349970291,0.8964646464646465,0.8470588235294118,0.6371681415929203,0.7272727272727273,0.15294117647058825,0.10353535353535354,0.668942219366971,0.9470588235294117,0.8009622263213676,355,41,13,72
df2,3,cagd,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,3.5279752140049823,0.00030321202939376235,0.9937629937629938,0.8232848232848233,0.1704781704781705,0.9823529411764707,1.0,0.9647058823529412,1.0,0.9820359281437125,0.03529411764705882,0.0,0.9784949947067062,0.9997326203208556,0.9988006696931647,396,0,3,82
df2,3,gaar_cagd,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,4.621512339974288,0.00023177696857601404,0.9916839916839917,0.8232848232848233,0.16839916839916835,0.994949494949495,0.98989898989899,1.0,0.9550561797752809,0.9770114942528736,0.0,0.010101010101010102,0.9723215248344236,0.9997029114676174,0.9986227361958706,392,4,0,85
df2,3,focal_loss_cagd,ok,2407,299,2010,397,1541,385,481,246,66,85,0.01,1000,0.5,,3.522506020963192,0.000454548979178071,0.9501039501039501,0.8232848232848233,0.12681912681912677,0.8773024361259656,0.98989898989899,0.7647058823529411,0.9420289855072463,0.8441558441558441,0.23529411764705882,0.010101010101010102,0.8211140954752042,0.9890671420083185,0.9584558934568795,392,4,20,65
